Probe Name	Annotation	Accession #	NS Probe ID	Class Name	Analyte Type	Species Name	% Samples above Threshold	Positive Flag	Avg Count	20200717_Qi 2 of 4_OV2-14_02.RCC	20200717_QL-TGFB_OV2-10_10.RCC	20200717_QL-TGFB_OV2-11_11.RCC	20200717_QL-TGFB_OV2-12_12.RCC	20200717_QL-TGFB_OV2-1_01.RCC	20200717_QL-TGFB_OV2-2_02.RCC	20200717_QL-TGFB_OV2-3_03.RCC	20200717_QL-TGFB_OV2-4_04.RCC	20200717_QL-TGFB_OV2-5_05.RCC	20200717_QL-TGFB_OV2-6_06.RCC	20200717_QL-TGFB_OV2-7_07.RCC	20200717_QL-TGFB_OV2-8_08.RCC	20200717_QL-TGFB_OV2-9_09.RCC	20200717_Qi 2 of 4_OV1-5_09.RCC	20200717_Qi 2 of 4_OV2-13_01.RCC	20200717_Qi 2 of 4_OV2-15_03.RCC	20200717_Qi 2 of 4_OV2-16_04.RCC	20200717_Qi 2 of 4_OV2-17_05.RCC	20200717_Qi 2 of 4_OV2-18_06.RCC	20200717_Qi 2 of 4_OV2-19_07.RCC	20200717_Qi 2 of 4_OV2-20_08.RCC	20200717_Qi 2 of 4_OV2-22_10.RCC	20200717_Qi 2 of 4_OV2-23_11.RCC	20200717_Qi 2 of 4_OV2-24_12.RCC	20200721_Qi 3 of 4_OV-10_10.RCC	20200721_Qi 3 of 4_OV-11_11.RCC	20200721_Qi 3 of 4_OV-12_12.RCC	20200721_Qi 3 of 4_OV-1_01.RCC	20200721_Qi 3 of 4_OV-2_02.RCC	20200721_Qi 3 of 4_OV-3_03.RCC	20200721_Qi 3 of 4_OV-4_04.RCC	20200721_Qi 3 of 4_OV-5_05.RCC	20200721_Qi 3 of 4_OV-6_06.RCC	20200721_Qi 3 of 4_OV-7_07.RCC	20200721_Qi 3 of 4_OV-8_08.RCC	20200721_Qi 3 of 4_OV-9_09.RCC	20200721_Qi 4 of 4_OV-10-2_12.RCC	20200721_Qi 4 of 4_OV-13_01.RCC	20200721_Qi 4 of 4_OV-14_02.RCC	20200721_Qi 4 of 4_OV-15_03.RCC	20200721_Qi 4 of 4_OV-16_04.RCC	20200721_Qi 4 of 4_OV-17_05.RCC	20200721_Qi 4 of 4_OV-18_06.RCC	20200721_Qi 4 of 4_OV-5-2_07.RCC	20200721_Qi 4 of 4_OV-6-2_08.RCC	20200721_Qi 4 of 4_OV-7-2_09.RCC	20200721_Qi 4 of 4_OV-8-2_10.RCC	20200721_Qi 4 of 4_OV-9-2_11.RCC
										ICO	ICO	ICO	ICO	ICO	ICO	ICO	ICO	ICO	ICO	ICO	ICO	ICO	UCSF	ICO	ICO	ICO	ICO	ICO	ICO	ICO	ICO	ICO	ICO	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF	UCSF
															FLAG																																										
ABCG1		NM_004915.3		Endogenous	mRNA		97,92	false	79,23	4,39	336,34	94,79	41,16	30,68	57,77	81,53	34,46	122,86	145,72	308,13	32,68	177,13	21,72	32,06	141,08	111,29	91,83	72,63	24,85	88,51	88,16	60,03	74,89	39,95	129,22	88,69	42,46	29,14	113,12	162,53	33,03	38,56	89,09	56,98	74,27	32,57	22,06	47,93	159,32	53,19	49,65	27,31	24,03	31,05	87,55	48,07	48,38
ABL1		NM_007313.2		Endogenous	mRNA		95,83	false	110,27	197,03	122,93	211,51	189,32	204,27	225,31	125,49	182,79	242,87	168,58	88,97	203,87	102,94	22,80	181,02	215,26	198,65	205,16	270,52	118,92	150,90	203,45	126,18	123,43	100,45	25,84	12,82	49,54	47,68	67,09	4,53	34,54	15,77	45,72	47,48	133,68	89,21	45,70	19,17	97,15	76,24	4,62	51,41	17,71	19,40	60,31	48,07	96,76
AMIGO2		NM_001143668.1		Endogenous	mRNA		97,92	false	99,03	4,39	107,05	108,92	93,29	61,36	184,87	70,90	54,31	144,29	24,14	160,08	87,15	21,33	52,12	103,71	90,18	29,49	81,07	702,30	10,65	35,48	44,08	37,36	45,76	63,93	29,82	90,83	31,84	55,62	103,92	23,90	64,57	61,34	124,25	64,58	224,15	76,47	141,81	45,53	283,67	375,87	24,83	64,27	48,06	36,22	122,57	88,12	153,21
APE2		NM_014481.3		Endogenous	mRNA		70,83	false	14,22	4,39	13,51	27,14	11,16	17,76	40,44	36,16	22,78	20,00	15,95	38,82	21,79	17,62	14,66	20,74	11,64	8,90	11,58	12,66	10,65	25,74	13,56	16,54	7,19	15,98	4,62	4,08	8,85	9,27	13,15	4,53	3,82	7,01	9,38	4,00	20,25	15,58	17,33	6,64	19,43	17,73	4,62	9,64	17,71	12,94	3,11	8,07	3,46
APEX1		NM_001641.4		Endogenous	mRNA		97,92	false	498,88	4,39	243,11	367,27	148,16	302,77	115,55	170,86	259,29	272,87	369,92	194,43	369,61	432,16	822,53	177,25	189,08	278,78	355,73	391,79	237,84	534,20	179,71	275,64	486,77	783,08	763,37	591,98	1740,83	572,11	910,26	372,87	633,67	715,02	565,00	1050,34	640,05	642,90	499,50	951,42	279,78	592,18	457,91	493,26	805,62	695,98	536,99	926,11	546,31
ASF1A		NM_014034.3		Endogenous	mRNA		95,83	false	63,96	4,39	47,65	79,55	11,16	25,84	57,77	29,07	36,79	35,72	53,03	46,03	42,02	36,17	88,50	26,40	36,36	75,12	62,87	117,27	79,87	109,18	33,91	47,16	42,99	38,81	43,73	100,44	90,23	78,14	78,92	121,90	84,09	77,11	85,57	56,98	97,22	53,81	63,03	110,24	73,83	63,83	80,00	57,84	79,68	72,44	75,88	60,89	100,80
ATM		NM_000051.3		Endogenous	mRNA		100,00	false	217,49	236,43	170,59	115,61	74,08	97,69	80,88	123,36	83,51	127,15	150,47	122,63	77,04	82,54	249,20	173,48	205,08	120,19	263,07	155,92	79,87	104,89	203,45	139,66	145,62	246,57	411,50	190,20	511,28	492,65	252,56	219,90	587,12	210,30	232,10	284,90	259,26	198,25	159,15	469,72	404,13	299,63	273,09	78,73	233,97	228,98	221,80	293,21	298,35
BCL2		NM_000657.2		Endogenous	mRNA		85,42	false	26,67	4,39	31,77	11,42	11,16	13,12	57,77	44,66	28,62	24,29	16,38	16,49	17,90	14,09	17,37	22,63	36,36	47,30	23,16	118,60	8,87	41,33	16,95	14,09	12,48	26,25	41,75	18,17	10,61	10,59	51,30	26,29	10,51	15,77	17,58	17,09	33,76	25,49	28,36	6,64	81,60	60,28	19,31	2,41	10,12	12,94	29,18	22,43	50,40
